suite,task,task_family,problem_type,optimizer,seed,device,hyperparameters,final_train_loss,final_val_loss,final_val_accuracy,best_val_loss,best_val_accuracy,steps_to_target_loss,steps_to_target_accuracy,convergence_speed,loss_variance,gradient_norm_variance,update_norm_variance,gradient_norm_stability,update_norm_stability,training_stability,generalization_gap,runtime_seconds,runtime_per_step_ms,peak_memory_mb,optimizer_state_mb,diverged,trace_path,num_parameters,mean_oscillation_score,mean_energy_drift,mean_relative_energy_drift,mean_normalized_total_energy,mean_kinetic_energy,mean_potential_energy,mean_total_hamiltonian,mean_momentum_norm,mean_parameter_step_norm,mean_inverse_mass_mean,mean_inverse_mass_std,mean_effective_damping,mean_alignment_scale,mean_effective_lr_scale,mean_grad_momentum_cosine,mean_force_momentum_cosine,mean_grad_previous_grad_cosine,mean_update_previous_update_cosine,mean_rotation_score,mean_coherence_score,mean_field_strength,mean_coherence_projection_strength,mean_coherence_friction_multiplier,mean_recovery_score,mean_direction_coherence,mean_rotation_score_structural,mean_trust_scale,mean_relative_gradient_scale,mean_constraint_agreement,mean_recoverability_score,mean_support_balance,mean_consensus_strength,mean_component_conflict,mean_memory_alignment,mean_residual_alignment,mean_block_coherence,mean_block_trust_scale,mean_block_norm_ratio,mean_memory_ratio,mean_block_conflict,mean_observation_recoverability,mean_observation_disagreement,mean_view_support,selection_score,variant_name,reference_optimizer,variant_overrides
real_baseline_ablation,rosenbrock_valley,stress,regression,coherent_momentum_real_baseline,29,cpu,"{""adaptive_mass_trust"": 0.08, ""betas"": [0.9, 0.999], ""drift_threshold"": 0.035, ""energy_correction_strength"": 0.07, ""fixed_mass"": 1.0, ""friction"": 0.03, ""lr"": 0.02, ""mass_alignment_strength"": 0.25, ""mass_anisotropy_cap"": 1.6, ""mass_change_cap"": 1.05, ""mass_mode"": ""adaptive"", ""mass_shock_penalty"": 1.4, ""mass_smoothing"": 0.985, ""mass_warmup_steps"": 40, ""max_energy_correction"": 0.16, ""max_inverse_mass"": 1.45, ""min_inverse_mass"": 0.55, ""mode"": ""dissipative_hamiltonian"", ""relative_energy_floor"": 0.1, ""use_adam_preconditioning"": true, ""use_decoupled_weight_decay"": true, ""use_energy_correction"": true, ""use_friction"": true, ""weight_decay"": 0.0001}",0.28783202171325684,0.32311102747917175,,0.06450340896844864,,,,1232,0.25331320503968113,13.963010845536566,8.386058482982784e-05,0.49130064722531697,0.5307900893302677,0.43948240649478215,0.03527900576591492,2.0904357499675825,1.5553837425354036,2.8086204528808594,3.814697265625e-05,0,,2,,-0.0013726748970620329,-0.0013054296776653835,0.8245206024516678,0.23643258129633113,0.6987437955602738,0.9351763768566049,0.8596399426046507,0.017252734169059713,0.9999939337195385,4.1448660613780205e-05,0.001681240844240683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.07716906922043269,dissipative_hamiltonian,coherent_momentum_real_baseline,"{""friction"": 0.03, ""mode"": ""dissipative_hamiltonian"", ""use_energy_correction"": true}"
real_baseline_ablation,rosenbrock_valley,stress,regression,coherent_momentum_real_baseline,47,cpu,"{""adaptive_mass_trust"": 0.08, ""betas"": [0.9, 0.999], ""drift_threshold"": 0.035, ""energy_correction_strength"": 0.07, ""fixed_mass"": 1.0, ""friction"": 0.03, ""lr"": 0.02, ""mass_alignment_strength"": 0.25, ""mass_anisotropy_cap"": 1.6, ""mass_change_cap"": 1.05, ""mass_mode"": ""adaptive"", ""mass_shock_penalty"": 1.4, ""mass_smoothing"": 0.985, ""mass_warmup_steps"": 40, ""max_energy_correction"": 0.16, ""max_inverse_mass"": 1.45, ""min_inverse_mass"": 0.55, ""mode"": ""dissipative_hamiltonian"", ""relative_energy_floor"": 0.1, ""use_adam_preconditioning"": true, ""use_decoupled_weight_decay"": true, ""use_energy_correction"": true, ""use_friction"": true, ""weight_decay"": 0.0001}",0.06639986485242844,0.14561697840690613,,0.0057581099681556225,,672.0,,672,0.43440331936120785,49.851334841693884,0.00011304700696423674,0.7083976396415369,0.48215836031977194,0.38095828481566446,0.07921711355447769,2.1976004170719534,1.6351193579404415,2.827847480773926,3.814697265625e-05,0,,2,,-0.001955119862722719,-0.0016272438588254684,3.5557996933877716,0.3706188509822759,0.8145784945655967,1.1851973455478726,1.0967012158445155,0.022051514181922,1.0000486876815557,0.00022950224928911078,0.001590018638788013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.027478275936216018,dissipative_hamiltonian,coherent_momentum_real_baseline,"{""friction"": 0.03, ""mode"": ""dissipative_hamiltonian"", ""use_energy_correction"": true}"
real_baseline_ablation,rosenbrock_valley,stress,regression,coherent_momentum_physical_baseline,11,cpu,"{""energy_correction_strength"": 0.15, ""energy_decay"": 0.95, ""friction"": 0.08, ""lr"": 0.001, ""max_scale"": 1.35, ""min_scale"": 0.55, ""momentum_coupling"": 0.25, ""oscillation_damping"": 0.2, ""weight_decay"": 0.0001}",0.059893589466810226,0.05988321825861931,,0.05988321825861931,,1344.0,,1344,5.9748885642759735,102.45836978703025,2.8893884909606857e-07,1.472978163514854,1.3207658080120406,0.10236847341067595,-1.0371208190917969e-05,0.7381633329205215,0.549228670327769,2.1302719116210938,2.288818359375e-05,0,,2,0.0009311873243389809,5.8119575394784245e-05,,,39.27115573313703,1.3396619411173671,,7.09460512650687,,,,0.1133547556888006,,0.9749535983145711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.358627646472418,v1_hamiltonian,coherent_momentum_physical_baseline,{}
real_baseline_ablation,rosenbrock_valley,stress,regression,coherent_momentum_physical_baseline,29,cpu,"{""energy_correction_strength"": 0.15, ""energy_decay"": 0.95, ""friction"": 0.08, ""lr"": 0.001, ""max_scale"": 1.35, ""min_scale"": 0.55, ""momentum_coupling"": 0.25, ""oscillation_damping"": 0.2, ""weight_decay"": 0.0001}",0.1840796023607254,0.1839180737733841,,0.1839180737733841,,,,1344,0.09320805940085379,8.327397616537924,7.88244560242223e-08,1.509468601515117,0.751520738137648,0.2981339143254205,-0.0001615285873413086,0.8464564579771832,0.6298039121854041,2.130758285522461,2.288818359375e-05,0,,2,0.0009314146228239424,0.00019913928320930847,,,3.392079290695533,0.42322469459686507,,2.012706494934502,,,,0.08794898002413977,,0.9325752563979389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1885784767434268,v1_hamiltonian,coherent_momentum_physical_baseline,{}
real_baseline_ablation,rosenbrock_valley,stress,regression,coherent_momentum_physical_baseline,47,cpu,"{""energy_correction_strength"": 0.15, ""energy_decay"": 0.95, ""friction"": 0.08, ""lr"": 0.001, ""max_scale"": 1.35, ""min_scale"": 0.55, ""momentum_coupling"": 0.25, ""oscillation_damping"": 0.2, ""weight_decay"": 0.0001}",0.4871978163719177,0.48638996481895447,,0.48638996481895447,,,,1344,0.47156488622516596,0.6571927871919049,1.8275858135795894e-08,0.36579626339935467,0.16216662734715565,0.5001180836379875,-0.0008078515529632568,0.743812125059776,0.5534316406694761,2.129201889038086,2.288818359375e-05,0,,2,0.0011233674433872066,0.0006978296992595831,,,1.4833998026858484,1.5041378858802743,,2.2584754108850444,,,,0.08256843208345434,,0.9233803324623057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5099682091302128,v1_hamiltonian,coherent_momentum_physical_baseline,{}
real_baseline_ablation,rosenbrock_valley,stress,regression,adamw,11,cpu,"{""lr"": 0.001, ""weight_decay"": 0.0001}",0.06008242815732956,0.06007182598114014,,0.06007182598114014,,,,1344,6.47361284926701,110.75984852768393,2.4065437239255224e-07,1.393805641924832,1.205734764342099,0.09927377998052644,-1.0602176189422607e-05,0.5141229999717325,0.38253199402658666,0.7782583236694336,1.9073486328125e-05,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3837524684444906,adamw_baseline,adamw,{}
real_baseline_ablation,rosenbrock_valley,stress,regression,adamw,29,cpu,"{""lr"": 0.001, ""weight_decay"": 0.0001}",0.17676080763339996,0.17659863829612732,,0.17659863829612732,,,,1344,0.09924926649136885,8.77621800444878,7.03470729249419e-08,1.5311450259260058,0.6916613648213391,0.30101843652770044,-0.00016216933727264404,0.4802780830068514,0.35734976414200254,0.7803497314453125,1.9073486328125e-05,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.18156110162069578,adamw_baseline,adamw,{}
real_baseline_ablation,rosenbrock_valley,stress,regression,adamw,47,cpu,"{""lr"": 0.001, ""weight_decay"": 0.0001}",0.4115057587623596,0.4107617735862732,,0.4107617735862732,,,,1344,0.5096174064494451,0.6969654072255003,1.9856569210180187e-08,0.3876930681862745,0.15935555536677792,0.48622381340094656,-0.0007439851760864258,0.516306082950905,0.3841563117194233,0.7794256210327148,1.9073486328125e-05,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.43624264390874545,adamw_baseline,adamw,{}
real_baseline_ablation,rosenbrock_valley,stress,regression,rmsprop,11,cpu,"{""alpha"": 0.99, ""lr"": 0.005, ""momentum"": 0.0, ""weight_decay"": 0.0}",0.0011120515409857035,0.0010786588536575437,,0.0002847766154445708,,168.0,,952,0.2865358228616699,6.900040907355074,2.3779171032785344e-05,3.5899349508171308,1.253909120381681,0.16312202788099092,-3.339268732815981e-05,0.4405516659608111,0.3277914181256035,0.7796850204467773,1.1444091796875e-05,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.014611567758528066,rmsprop_baseline,rmsprop,{}
real_baseline_ablation,rosenbrock_valley,stress,regression,rmsprop,29,cpu,"{""alpha"": 0.99, ""lr"": 0.005, ""momentum"": 0.0, ""weight_decay"": 0.0}",0.0009756605140864849,0.0009830027120187879,,0.0005885568098165095,,280.0,,672,0.012565217920272062,0.43371730482315335,1.4857615334774738e-05,1.183279323901981,0.7032739986472744,0.34493242895754267,7.342197932302952e-06,0.48382341698743403,0.35998766144898364,0.7801227569580078,1.1444091796875e-05,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0012168177058301125,rmsprop_baseline,rmsprop,{}
