variant_name,mean_best_val_loss,mean_best_val_accuracy,mean_runtime_per_step_ms,mean_selection_score,source_csv
rmsprop_baseline,-0.6688275651184894,0.9818769296010336,0.5788872816952201,1.1784717618355192,reports/accepted_coherent_momentum/ablation_results.csv
no_activation_gating,-0.46018124962337265,0.9263888928625319,3.50930302286074,1.1246024607594582,reports/accepted_coherent_momentum/ablation_results.csv
projection_only_coherence,-0.46243348885279073,0.9297260840733846,3.1757356927397833,1.1242124867744958,reports/accepted_coherent_momentum/ablation_results.csv
no_conflict_damping,-0.4640087698895614,0.9272569484180875,3.099646569616639,1.1224266193574435,reports/accepted_coherent_momentum/ablation_results.csv
combined_full,-0.46374292752398105,0.9272569484180875,3.1456821466501874,1.1221622728510914,reports/accepted_coherent_momentum/ablation_results.csv
fixed_mass_combined,-0.46374292752398105,0.9272569484180875,3.095147319427065,1.1221622728510914,reports/accepted_coherent_momentum/ablation_results.csv
no_alignment_scaling,-0.4617336186092871,0.9272569484180875,3.1400129499104956,1.121177860822102,reports/accepted_coherent_momentum/ablation_results.csv
no_projection,-0.4440983781435837,0.9210165937741598,3.055981436929677,1.091960633751019,reports/accepted_coherent_momentum/ablation_results.csv
lr_scale_only_coherence,-0.4311924144583625,0.9210165937741598,3.105178118798827,1.080037072709961,reports/accepted_coherent_momentum/ablation_results.csv
damping_only_coherence,-0.42641853789488476,0.9185474581188626,3.1187510925788993,1.0681333814568106,reports/accepted_coherent_momentum/ablation_results.csv
hamiltonian_real_baseline,-0.40880402488013107,0.9185474581188626,2.550437217640189,1.0513604067728413,reports/accepted_coherent_momentum/ablation_results.csv
direction_reference_baseline,-0.4678934434325331,0.9794077939457364,1.6626201336339652,0.9602642923391213,reports/accepted_coherent_momentum/ablation_results.csv
adamw_baseline,-0.3206670972932544,0.9798418217235141,0.6855078921642849,0.8146646241697809,reports/accepted_coherent_momentum/ablation_results.csv
topological_baseline,-0.3205068357444058,0.9798418217235141,1.4890509942238646,0.8144708119753569,reports/accepted_coherent_momentum/ablation_results.csv
