task,optimizer,task_family,mean_best_val_loss,mean_best_val_accuracy,mean_runtime_per_step_ms,mean_optimizer_state_mb,source_csv
breast_cancer_mlp,adamw,neural,0.06346794497221704,0.984375,1.1322237394687509,0.029693603515625,reports/accepted_coherent_momentum/benchmark_results.csv
breast_cancer_mlp,coherent_direction_reference,neural,0.06351733471577363,0.984375,2.7111774636236867,0.0593414306640625,reports/accepted_coherent_momentum/benchmark_results.csv
breast_cancer_mlp,coherent_momentum_optimizer,neural,0.0798573461361229,0.98046875,6.5261282704063595,0.0890121459960937,reports/accepted_coherent_momentum/benchmark_results.csv
breast_cancer_mlp,coherent_momentum_real_baseline,neural,0.11972420321156578,0.9635416666666666,4.255190883640523,0.0741767883300781,reports/accepted_coherent_momentum/benchmark_results.csv
breast_cancer_mlp,rmsprop,neural,0.05673210831203803,0.98828125,0.9737441665819047,0.0148582458496093,reports/accepted_coherent_momentum/benchmark_results.csv
breast_cancer_mlp,sgd_momentum,neural,0.05991271145952239,0.9856770833333334,0.902370155491561,0.014835357666015602,reports/accepted_coherent_momentum/benchmark_results.csv
conflicting_batches_classification,adamw,stress,0.06321201380342244,0.9765625,1.0394688260798894,0.018035888671875,reports/accepted_coherent_momentum/benchmark_results.csv
conflicting_batches_classification,coherent_direction_reference,stress,0.06354878190904853,0.9752604166666666,2.480441802459688,0.0360260009765625,reports/accepted_coherent_momentum/benchmark_results.csv
conflicting_batches_classification,coherent_momentum_optimizer,stress,0.06233941453198586,0.9791666666666666,5.844910225857967,0.0540390014648437,reports/accepted_coherent_momentum/benchmark_results.csv
conflicting_batches_classification,coherent_momentum_real_baseline,stress,0.08572092528144513,0.9778645833333334,4.074254478266067,0.0450325012207031,reports/accepted_coherent_momentum/benchmark_results.csv
conflicting_batches_classification,rmsprop,stress,0.06431157126401857,0.9752604166666666,0.9213813406512016,0.0090293884277343,reports/accepted_coherent_momentum/benchmark_results.csv
conflicting_batches_classification,sgd_momentum,stress,0.06430049613118166,0.9791666666666666,0.8238341890169748,0.0090065002441406,reports/accepted_coherent_momentum/benchmark_results.csv
direction_reversal_objective,adamw,stress,2.4678735733032227,,0.251863503046313,1.9073486328125e-05,reports/accepted_coherent_momentum/benchmark_results.csv
direction_reversal_objective,coherent_direction_reference,stress,2.3901633818944297,,0.4013750348224563,3.0517578125e-05,reports/accepted_coherent_momentum/benchmark_results.csv
direction_reversal_objective,coherent_momentum_optimizer,stress,0.008297722010562766,,1.166872828302037,4.57763671875e-05,reports/accepted_coherent_momentum/benchmark_results.csv
direction_reversal_objective,coherent_momentum_real_baseline,stress,0.29887183507283527,,1.0048603213513156,3.814697265625e-05,reports/accepted_coherent_momentum/benchmark_results.csv
direction_reversal_objective,rmsprop,stress,0.03082188715537383,,0.21841808308150576,1.1444091796875e-05,reports/accepted_coherent_momentum/benchmark_results.csv
direction_reversal_objective,sgd_momentum,stress,0.0016666674055158999,,0.2097918522799099,7.62939453125e-06,reports/accepted_coherent_momentum/benchmark_results.csv
oscillatory_valley,adamw,stress,-0.06461743513743083,,0.2841058509176715,1.9073486328125e-05,reports/accepted_coherent_momentum/benchmark_results.csv
oscillatory_valley,coherent_direction_reference,stress,-0.07085324327150981,,0.6004059603236827,3.0517578125e-05,reports/accepted_coherent_momentum/benchmark_results.csv
oscillatory_valley,coherent_momentum_optimizer,stress,-0.037761117021242796,,1.3423342527295017,4.57763671875e-05,reports/accepted_coherent_momentum/benchmark_results.csv
oscillatory_valley,coherent_momentum_real_baseline,stress,0.010641256968180331,,1.0189511924383825,3.814697265625e-05,reports/accepted_coherent_momentum/benchmark_results.csv
oscillatory_valley,rmsprop,stress,-0.07113397121429443,,0.24587837897198614,1.1444091796875e-05,reports/accepted_coherent_momentum/benchmark_results.csv
oscillatory_valley,sgd_momentum,stress,-0.07113398611545564,,0.23734989857378722,7.62939453125e-06,reports/accepted_coherent_momentum/benchmark_results.csv
rosenbrock_valley,adamw,stress,0.21581074595451355,,0.25226667934302455,1.9073486328125e-05,reports/accepted_coherent_momentum/benchmark_results.csv
rosenbrock_valley,coherent_direction_reference,stress,0.12401022886236505,,0.651955357141791,3.0517578125e-05,reports/accepted_coherent_momentum/benchmark_results.csv
rosenbrock_valley,coherent_momentum_optimizer,stress,0.0018288935222395683,,1.1340508742524968,4.57763671875e-05,reports/accepted_coherent_momentum/benchmark_results.csv
rosenbrock_valley,coherent_momentum_real_baseline,stress,0.058875081439812904,,0.9844134737148932,3.814697265625e-05,reports/accepted_coherent_momentum/benchmark_results.csv
rosenbrock_valley,rmsprop,stress,0.00042397530827046665,,0.2125324489108087,1.1444091796875e-05,reports/accepted_coherent_momentum/benchmark_results.csv
rosenbrock_valley,sgd_momentum,stress,inf,,0.20976169451682017,7.62939453125e-06,reports/accepted_coherent_momentum/benchmark_results.csv
saddle_objective,adamw,stability,-2.3313492139180503,,0.26501127085697745,1.9073486328125e-05,reports/accepted_coherent_momentum/benchmark_results.csv
