variant_name,mean_best_val_loss,mean_best_val_accuracy,mean_runtime_per_step_ms,mean_selection_score,source_csv
rmsprop_baseline,-0.7057256271596998,0.9364110777775446,1.4184892590257132,1.3631343736362151,reports/coherent_momentum_gpu/gpu_ablation_results.csv
sgd_momentum_baseline,-0.6445618679281324,0.8917644421259562,1.3682053066971889,1.3333435008627317,reports/coherent_momentum_gpu/gpu_ablation_results.csv
no_projection,-0.25629401206970215,0.7022718613346418,8.686000710326166,1.1813259756129046,reports/coherent_momentum_gpu/gpu_ablation_results.csv
improved_cnn_safe,-0.2597788020968438,0.6957999430596828,8.709081694343489,1.1777561948792346,reports/coherent_momentum_gpu/gpu_ablation_results.csv
improved_standard_safe,-0.2597763240337372,0.6957999430596828,8.727536786534014,1.1777546113622115,reports/coherent_momentum_gpu/gpu_ablation_results.csv
coherent_direction_reference_only,-0.4686704073101282,0.8838720719019572,2.7940452267957965,1.1711666907916238,reports/coherent_momentum_gpu/gpu_ablation_results.csv
improved_balanced,-0.2559590831398964,0.6804126438995203,8.63626816583835,1.1682577876897842,reports/coherent_momentum_gpu/gpu_ablation_results.csv
adaptive_mass,-0.2559590831398964,0.6804126438995203,8.680198562417091,1.1682577876897842,reports/coherent_momentum_gpu/gpu_ablation_results.csv
projection_under_conflict_only,-0.2559590831398964,0.6804126438995203,8.70520543503969,1.1682577876897842,reports/coherent_momentum_gpu/gpu_ablation_results.csv
diagnostics_throttled,-0.2559590831398964,0.6804126438995203,8.66692542754907,1.1682577876897842,reports/coherent_momentum_gpu/gpu_ablation_results.csv
diagnostics_full,-0.2559590831398964,0.6804126438995203,9.06286794666851,1.1682577876897842,reports/coherent_momentum_gpu/gpu_ablation_results.csv
conv_safe_on,-0.2559590831398964,0.6804126438995203,8.794615032299667,1.1682577876897842,reports/coherent_momentum_gpu/gpu_ablation_results.csv
conv_safe_off,-0.25595901161432266,0.6804126438995203,8.758852538291183,1.1682577805528507,reports/coherent_momentum_gpu/gpu_ablation_results.csv
fixed_mass,-0.25595891326665876,0.6804126438995203,7.906065803517878,1.1682576028946299,reports/coherent_momentum_gpu/gpu_ablation_results.csv
no_activation_gating,-0.2697293657809496,0.660427637398243,5.521562758646861,1.156599369986694,reports/coherent_momentum_gpu/gpu_ablation_results.csv
current_mainline_full,-0.2749163094907999,0.660427637398243,5.5107915719169664,1.1549133102552263,reports/coherent_momentum_gpu/gpu_ablation_results.csv
no_conflict_damping,-0.2749291926622391,0.660427637398243,5.270753787350598,1.1548292177717936,reports/coherent_momentum_gpu/gpu_ablation_results.csv
improved_stress_specialist,-0.2519833207130432,0.6576252269248167,8.76707983181996,1.154275860445729,reports/coherent_momentum_gpu/gpu_ablation_results.csv
soft_conflict_correction,-0.2516272872686386,0.6576252269248167,8.712213231482634,1.154235787415244,reports/coherent_momentum_gpu/gpu_ablation_results.csv
coherent_momentum_real_baseline,-0.21560971364378928,0.6699959772328535,4.516613855806655,1.0895273961861514,reports/coherent_momentum_gpu/gpu_ablation_results.csv
adamw_baseline,-0.35466198828071355,0.8853329420089722,1.5946858382454088,1.0540287765510281,reports/coherent_momentum_gpu/gpu_ablation_results.csv
