suite,task,task_family,problem_type,optimizer,seed,device,hyperparameters,final_train_loss,final_val_loss,final_val_accuracy,best_val_loss,best_val_accuracy,steps_to_target_loss,steps_to_target_accuracy,convergence_speed,loss_variance,gradient_norm_variance,update_norm_variance,gradient_norm_stability,update_norm_stability,training_stability,generalization_gap,runtime_seconds,peak_memory_mb,diverged,trace_path,num_parameters,mean_oscillation_score,mean_energy_drift,mean_relative_energy_drift,mean_normalized_total_energy,mean_kinetic_energy,mean_potential_energy,mean_total_hamiltonian,mean_momentum_norm,mean_parameter_step_norm,mean_inverse_mass_mean,mean_inverse_mass_std,mean_effective_damping,mean_alignment_scale,mean_effective_lr_scale,mean_grad_momentum_cosine,mean_force_momentum_cosine,mean_grad_previous_grad_cosine,mean_update_previous_update_cosine,mean_rotation_score,mean_coherence_score,mean_field_strength,mean_magneto_projection_strength,mean_magneto_friction_multiplier,selection_score
smoke,harmonic_oscillator_objective,hamiltonian,regression,hamiltonian_adam,11,cpu,"{""energy_correction_strength"": 0.15, ""energy_decay"": 0.95, ""friction"": 0.08, ""lr"": 0.001, ""max_scale"": 1.35, ""min_scale"": 0.55, ""momentum_coupling"": 0.25, ""oscillation_damping"": 0.2, ""weight_decay"": 0.0001}",0.1528337001800537,0.15231679379940033,,0.15231679379940033,,,,528,0.026958289159289432,0.07525509757950014,4.206027365562307e-08,0.21652197881387267,0.21617701570034342,0.6850923235098787,-0.0005169063806533813,0.26403079193551093,0.8392248153686523,0,/Users/stevenreid/Documents/New project/reports/real_hamiltonian_adam/traces/smoke/harmonic_oscillator_objective__hamiltonian_adam__seed11.csv,2,0.0018942384750622418,0.0006445864609369484,,,0.430279725852112,0.39955220302857075,,1.2826793664558367,,,,0.08080887090801427,,0.91985474105657,,,,,,,,,,-0.1536647082573648
smoke,harmonic_oscillator_objective,hamiltonian,regression,real_hamiltonian_adam,11,cpu,"{""adaptive_mass_trust"": 0.15, ""betas"": [0.9, 0.999], ""drift_threshold"": 0.04, ""energy_correction_strength"": 0.06, ""fixed_mass"": 1.0, ""friction"": 0.03, ""lr"": 0.03, ""mass_anisotropy_cap"": 2.0, ""mass_change_cap"": 1.08, ""mass_mode"": ""adaptive"", ""mass_smoothing"": 0.97, ""mass_warmup_steps"": 24, ""max_energy_correction"": 0.2, ""max_inverse_mass"": 1.8, ""min_inverse_mass"": 0.4, ""mode"": ""dissipative_hamiltonian"", ""relative_energy_floor"": 0.1, ""use_adam_preconditioning"": true, ""use_decoupled_weight_decay"": true, ""use_energy_correction"": true, ""use_friction"": true, ""weight_decay"": 0.0001}",0.17623721063137054,0.15817518532276154,,0.08884100615978241,,,,480,0.03592209493084095,0.2015573166980072,7.212508214024573e-05,0.4425101838656822,0.428649500106002,0.5243613625082577,-0.01806202530860901,0.47509287495631725,1.0866413116455078,0,/Users/stevenreid/Documents/New project/reports/real_hamiltonian_adam/traces/smoke/harmonic_oscillator_objective__real_hamiltonian_adam__seed11.csv,2,,-0.0008080876903091628,-0.0016585469609206194,6.318968020462653,0.1369536352516055,0.28282123462717706,0.41977486987878254,0.6983696637012816,0.019812440666702114,1.013823869101929,0.08259592261527193,0.0008995951214726405,,,,,,,,,,,,-0.09063711090632445
smoke,harmonic_oscillator_objective,hamiltonian,regression,adamw,11,cpu,"{""lr"": 0.001, ""weight_decay"": 0.0001}",0.13042627274990082,0.1299329251050949,,0.1299329251050949,,,,528,0.028927494924794687,0.08547972647504828,5.571973216566749e-08,0.23795401783273465,0.2353072479013341,0.6656953015421296,-0.0004933476448059082,0.13447062496561557,0.30551815032958984,0,/Users/stevenreid/Documents/New project/reports/real_hamiltonian_adam/traces/smoke/harmonic_oscillator_objective__adamw__seed11.csv,2,,,,,,,,,,,,,,,,,,,,,,,,-0.13137929985133465
smoke,harmonic_oscillator_objective,hamiltonian,regression,rmsprop,11,cpu,"{""alpha"": 0.99, ""lr"": 0.005, ""momentum"": 0.0, ""weight_decay"": 0.0}",4.964835572548276e-32,3.3216196602470805e-32,,3.3216196602470805e-32,,96.0,,528,0.006749063071231245,0.09173587022426723,2.6909988198084223e-05,2.1711801699075197,3.14359360032253,0.1581897315520367,-1.6432159123011954e-32,0.12453429203014821,0.30498790740966797,0,/Users/stevenreid/Documents/New project/reports/real_hamiltonian_adam/traces/smoke/harmonic_oscillator_objective__rmsprop__seed11.csv,2,,,,,,,,,,,,,,,,,,,,,,,,-0.00033745315356156227
smoke,wine_mlp,neural,classification,hamiltonian_adam,11,cpu,"{""energy_correction_strength"": 0.15, ""energy_decay"": 0.95, ""friction"": 0.08, ""lr"": 0.001, ""max_scale"": 1.35, ""min_scale"": 0.55, ""momentum_coupling"": 0.25, ""oscillation_damping"": 0.2, ""weight_decay"": 0.0001}",0.49848318099975586,0.4560619294643402,0.9555555582046509,0.4560619294643402,0.9555555582046509,,18.0,54,0.03958680969338792,0.011465753961084957,5.349381743321144e-06,0.1692334266601012,0.06102706976216779,0.7874962565845066,-0.04242125153541565,0.1254180409014225,0.12515830993652344,0,/Users/stevenreid/Documents/New project/reports/real_hamiltonian_adam/traces/smoke/wine_mlp__hamiltonian_adam__seed11.csv,3171,0.04504871996580291,0.012759103409688062,,,0.00033430794747172184,0.9560687266642729,,0.16621548194369234,,,,0.09214695534959737,,0.9098781712591707,,,,,,,,,,0.9079700247735475
smoke,wine_mlp,neural,classification,real_hamiltonian_adam,11,cpu,"{""adaptive_mass_trust"": 0.15, ""betas"": [0.9, 0.999], ""drift_threshold"": 0.04, ""energy_correction_strength"": 0.06, ""fixed_mass"": 1.0, ""friction"": 0.03, ""lr"": 0.03, ""mass_anisotropy_cap"": 2.0, ""mass_change_cap"": 1.08, ""mass_mode"": ""adaptive"", ""mass_smoothing"": 0.97, ""mass_warmup_steps"": 24, ""max_energy_correction"": 0.2, ""max_inverse_mass"": 1.8, ""min_inverse_mass"": 0.4, ""mode"": ""dissipative_hamiltonian"", ""relative_energy_floor"": 0.1, ""use_adam_preconditioning"": true, ""use_decoupled_weight_decay"": true, ""use_energy_correction"": true, ""use_friction"": true, ""weight_decay"": 0.0001}",0.9548196196556091,0.9139246344566345,0.8222222328186035,0.9139246344566345,0.8444444537162781,,,54,0.0036894455683771678,0.008255808030826156,2.5941003078597034e-05,0.172065891285585,0.5436620462395771,0.5815923520563816,-0.04089498519897461,0.2100594580406323,0.1468801498413086,0,/Users/stevenreid/Documents/New project/reports/real_hamiltonian_adam/traces/smoke/wine_mlp__real_hamiltonian_adam__seed11.csv,3171,,-0.0032798767266925093,-0.003070905440347848,2.1879008705150775e-05,2.12848461278237e-05,1.025272895892461,1.025294180738589,0.3292297947399028,0.00936931612005346,0.9809814690025912,0.019323176904678063,0.0009835433426697467,,,,,,,,,,,,0.7528675179921958
smoke,wine_mlp,neural,classification,adamw,11,cpu,"{""lr"": 0.001, ""weight_decay"": 0.0001}",0.42804574966430664,0.3912992775440216,0.9555555582046509,0.3912992775440216,0.9555555582046509,,18.0,54,0.04817103625353783,0.011673008647640924,7.5610035534482284e-06,0.17001006522525397,0.06614241257418052,0.7786200198455251,-0.036746472120285034,0.06653045804705471,0.059413909912109375,0,/Users/stevenreid/Documents/New project/reports/real_hamiltonian_adam/traces/smoke/wine_mlp__adamw__seed11.csv,3171,,,,,,,,,,,,,,,,,,,,,,,,0.9140170786375719
smoke,wine_mlp,neural,classification,rmsprop,11,cpu,"{""alpha"": 0.99, ""lr"": 0.005, ""momentum"": 0.0, ""weight_decay"": 0.0}",0.0011728879762813449,0.0665992870926857,0.9555555582046509,0.06146441400051117,0.9777777791023254,6.0,6.0,48,0.04056565945779232,0.0672407151202613,0.2761000646694245,2.042833775243537,2.0146761150585166,0.1961524481619553,0.06542639911640435,0.05874029209371656,0.05607891082763672,0,/Users/stevenreid/Documents/New project/reports/real_hamiltonian_adam/traces/smoke/wine_mlp__rmsprop__seed11.csv,3171,,,,,,,,,,,,,,,,,,,,,,,,0.9696030547293847
smoke,rosenbrock_valley,stress,regression,hamiltonian_adam,11,cpu,"{""energy_correction_strength"": 0.15, ""energy_decay"": 0.95, ""friction"": 0.08, ""lr"": 0.001, ""max_scale"": 1.35, ""min_scale"": 0.55, ""momentum_coupling"": 0.25, ""oscillation_damping"": 0.2, ""weight_decay"": 0.0001}",0.06576883047819138,0.06575091183185577,,0.06575091183185577,,,,728,9.062965034305162,121.41849117448854,3.1513940207295463e-07,0.8855075319691996,0.7761473232019723,0.08529061150183384,-1.7918646335601807e-05,0.2878050410654396,1.1509323120117188,0,/Users/stevenreid/Documents/New project/reports/real_hamiltonian_adam/traces/smoke/rosenbrock_valley__hamiltonian_adam__seed11.csv,2,0.001717766638948414,0.00016508412471975193,,,72.48255658608217,2.419929578549612,,12.852514974363558,,,,0.14157774081812718,,1.0214386201493921,,,,,,,,,,-0.5188991635471139
smoke,rosenbrock_valley,stress,regression,real_hamiltonian_adam,11,cpu,"{""adaptive_mass_trust"": 0.15, ""betas"": [0.9, 0.999], ""drift_threshold"": 0.04, ""energy_correction_strength"": 0.06, ""fixed_mass"": 1.0, ""friction"": 0.03, ""lr"": 0.03, ""mass_anisotropy_cap"": 2.0, ""mass_change_cap"": 1.08, ""mass_mode"": ""adaptive"", ""mass_smoothing"": 0.97, ""mass_warmup_steps"": 24, ""max_energy_correction"": 0.2, ""max_inverse_mass"": 1.8, ""min_inverse_mass"": 0.4, ""mode"": ""dissipative_hamiltonian"", ""relative_energy_floor"": 0.1, ""use_adam_preconditioning"": true, ""use_decoupled_weight_decay"": true, ""use_energy_correction"": true, ""use_friction"": true, ""weight_decay"": 0.0001}",0.6495763063430786,0.2340470552444458,,0.03891834616661072,,168.0,,168,4.556485614756309,378.85526895921276,0.0007828883629960938,0.8282414774472727,0.44119442471209236,0.14650036592449056,-0.4155292510986328,0.6302559580653906,1.4956836700439453,0,/Users/stevenreid/Documents/New project/reports/real_hamiltonian_adam/traces/smoke/rosenbrock_valley__real_hamiltonian_adam__seed11.csv,2,,-0.01354530584681165,-0.0029953543311471487,2.415041966214346,1.2860727721957905,2.5387343875414583,3.824807159737249,2.0815729718270632,0.0634187150720531,1.0001551865876377,0.05490026744871268,0.0033033156460167148,,,,,,,,,,,,-0.2667426269044262
smoke,rosenbrock_valley,stress,regression,adamw,11,cpu,"{""lr"": 0.001, ""weight_decay"": 0.0001}",0.06645116955041885,0.06642435491085052,,0.06642435491085052,,,,728,9.481176501654447,122.22935037379958,2.2789933085330187e-07,0.8075459198059637,0.6614094211422367,0.08368108512702464,-2.6814639568328857e-05,0.20958158397115767,0.42073917388916016,0,/Users/stevenreid/Documents/New project/reports/real_hamiltonian_adam/traces/smoke/rosenbrock_valley__adamw__seed11.csv,2,,,,,,,,,,,,,,,,,,,,,,,,-0.540483179993573
smoke,rosenbrock_valley,stress,regression,rmsprop,11,cpu,"{""alpha"": 0.99, ""lr"": 0.005, ""momentum"": 0.0, ""weight_decay"": 0.0}",0.0010644897120073438,0.0010479736374691129,,0.0010479736374691129,,168.0,,728,0.5217783020947425,12.613902973082585,2.6938724170290694e-05,3.9410873414093612,2.7153965822617403,0.12227536515636193,-1.6516074538230896e-05,0.16732641693670303,0.4205608367919922,0,/Users/stevenreid/Documents/New project/reports/real_hamiltonian_adam/traces/smoke/rosenbrock_valley__rmsprop__seed11.csv,2,,,,,,,,,,,,,,,,,,,,,,,,-0.02713688874220624
