suite,task,optimizer,trial_index,hyperparameters,mean_final_val_loss,mean_best_val_loss,mean_final_val_accuracy,mean_best_val_accuracy,mean_steps_to_target_loss,mean_steps_to_target_accuracy,mean_runtime_seconds,loss_variance,divergence_rate,selection_score
tuning,label_noise_breast_cancer,rmsprop,1,"{""alpha"": 0.99, ""lr"": 0.005, ""momentum"": 0.0, ""weight_decay"": 0.0}",0.47297564148902893,0.20327159762382507,0.8669270873069763,0.955078125,24.0,8.0,0.11658587452257052,0.03448322865216448,0.0,0.9330268038050092
tuning,label_noise_breast_cancer,rmsprop,2,"{""alpha"": 0.95, ""lr"": 0.005, ""momentum"": 0.0, ""weight_decay"": 0.001}",0.38320764154195786,0.20506136864423752,0.8953125029802322,0.95703125,24.0,12.0,0.11791747895767912,0.027134661247958543,0.0,0.9351683800731783
tuning,label_noise_breast_cancer,sgd_momentum,1,"{""lr"": 0.03, ""momentum"": 0.9, ""nesterov"": false, ""weight_decay"": 0.0}",0.32928693294525146,0.22995004802942276,0.8766927123069763,0.9403645843267441,32.0,40.0,0.10991668747738004,0.026794234174752317,0.0,0.9160298678150642
tuning,label_noise_breast_cancer,sgd_momentum,2,"{""lr"": 0.08, ""momentum"": 0.85, ""nesterov"": false, ""weight_decay"": 0.0}",0.3299875557422638,0.22538930922746658,0.8855468779802322,0.9462239593267441,28.0,32.0,0.11036097904434428,0.02814195889314229,0.0,0.9222779304593403
tuning,label_noise_breast_cancer,lion,1,"{""lr"": 0.0005, ""weight_decay"": 0.0}",0.23390083014965057,0.21129340305924416,0.9011718779802322,0.943359375,84.0,40.0,0.11309804097982123,0.020500754239288425,0.0,0.9212049969821112
tuning,label_noise_breast_cancer,lion,2,"{""lr"": 0.0005, ""weight_decay"": 0.0001}",0.2339041568338871,0.21129730343818665,0.9011718779802322,0.943359375,84.0,40.0,0.11506775004090741,0.02050045995111192,0.0,0.9212046216586258
tuning,label_noise_breast_cancer,topological_adam,1,"{""deterministic_init"": true, ""eta"": 0.03, ""lr"": 0.001, ""max_topo_ratio"": 0.05, ""target_energy"": 0.001, ""w_topo"": 0.08}",0.2832842841744423,0.24546357989311218,0.9217447936534882,0.9384114593267441,60.0,36.0,0.3107581670046784,0.020146703907774274,0.0,0.9128577661420441
tuning,label_noise_breast_cancer,topological_adam,2,"{""deterministic_init"": true, ""eta"": 0.05, ""lr"": 0.003, ""max_topo_ratio"": 0.1, ""target_energy"": 0.001, ""w_topo"": 0.12}",0.33199965208768845,0.22213968262076378,0.8903645873069763,0.9423177093267441,24.0,40.0,0.31100270844763145,0.02448898634828438,0.0,0.9188792917472535
tuning,oscillatory_valley,coherent_momentum_optimizer,1,"{""activation_conflict_weight"": 0.7, ""activation_rotation_threshold"": 0.38, ""activation_rotation_weight"": 0.5, ""adaptive_mass_trust"": 0.08, ""alignment_strength"": 0.14, ""betas"": [0.9, 0.999], ""coherence_strength"": 0.12, ""conflict_damping"": 0.2, ""conflict_gate_threshold"": 0.28, ""drift_threshold"": 0.035, ""energy_correction_strength"": 0.06, ""field_clip"": 2.0, ""fixed_mass"": 1.0, ""friction"": 0.03, ""lr"": 0.02, ""mass_alignment_strength"": 0.25, ""mass_anisotropy_cap"": 1.5, ""mass_change_cap"": 1.05, ""mass_mode"": ""fixed"", ""mass_shock_penalty"": 1.4, ""mass_smoothing"": 0.98, ""mass_warmup_steps"": 32, ""max_alignment_scale"": 1.12, ""max_energy_correction"": 0.16, ""max_inverse_mass"": 1.45, ""max_projection"": 0.25, ""min_alignment_scale"": 0.88, ""min_inverse_mass"": 0.55, ""mode"": ""dissipative_hamiltonian"", ""projection_activation_threshold"": 0.18, ""projection_strength"": 0.12, ""relative_energy_floor"": 0.1, ""rotation_penalty"": 0.22, ""stable_coherence_bonus"": 0.24, ""use_adam_preconditioning"": true, ""use_decoupled_weight_decay"": true, ""use_energy_correction"": true, ""use_friction"": true, ""weight_decay"": 0.0001}",0.01676878333091736,0.016039401292800903,,,196.0,,1.112011791439727,0.2664582743377102,0.0,-0.02936231500968641
tuning,oscillatory_valley,coherent_momentum_optimizer,2,"{""activation_conflict_weight"": 0.5, ""activation_rotation_threshold"": 0.38, ""activation_rotation_weight"": 0.25, ""adaptive_mass_trust"": 0.15, ""alignment_strength"": 0.08, ""betas"": [0.9, 0.99], ""coherence_strength"": 0.18, ""conflict_damping"": 0.2, ""conflict_gate_threshold"": 0.25, ""drift_threshold"": 0.05, ""energy_correction_strength"": 0.12, ""field_clip"": 2.0, ""fixed_mass"": 1.0, ""friction"": 0.02, ""lr"": 0.03, ""mass_alignment_strength"": 0.0, ""mass_anisotropy_cap"": 1.3, ""mass_change_cap"": 1.03, ""mass_mode"": ""adaptive"", ""mass_shock_penalty"": 1.4, ""mass_smoothing"": 0.98, ""mass_warmup_steps"": 32, ""max_alignment_scale"": 1.08, ""max_energy_correction"": 0.16, ""max_inverse_mass"": 1.7, ""max_projection"": 0.25, ""min_alignment_scale"": 0.95, ""min_inverse_mass"": 0.65, ""mode"": ""adam_preconditioned_hamiltonian"", ""projection_activation_threshold"": 0.35, ""projection_strength"": 0.0, ""relative_energy_floor"": 0.1, ""rotation_penalty"": 0.35, ""stable_coherence_bonus"": 0.18, ""use_adam_preconditioning"": true, ""use_decoupled_weight_decay"": true, ""use_energy_correction"": true, ""use_friction"": true, ""weight_decay"": 0.0}",-0.03390137106180191,-0.09649714455008507,,,308.0,,1.2450887284358032,0.5121222559705637,0.0,0.0708910317515569
